x	y	y-y_quer	(Y-Y_quer)²	Y_dach	Y-Y_dach	(Y-Y_dach)²
1,996	29,95	28,7686666667	827,6361817778	29,8846594647	0,0653405353	0,0042693856
1,69	25,19	24,0086666667	634,5361	25,2497137247	-0,0597137247	0,0035657289
1,348	20,04	18,8586666667	401,6016	20,0694802505	-0,0294802505	0,0008690852
1,01	15,1	13,9186666667	228,01	14,9498343024	0,1501656976	0,0225497367
0,697	9,93	8,7486666667	98,6049	10,2088603919	-0,2788603919	0,0777631182
0,347	5,06	3,8786666667	25,6036	4,9074518657	0,1525481343	0,0232709333
						
SUMME	7,088	98,182	2215,9923817778	105,27	2,15996109886873E-11	0,1322879878
Y_quer	1,1813333333					
						
						
			R²=	0,999940303		
